gig_id,date,venue,venue_mbid,city,country,festival,event_mbid,status,notes
g180715,2018-07-15,Valkhofpark,,Nijmegen,Netherlands,Valkhof Festival 2018,,,
g180717,2018-07-17,Worm,,Rotterdam,Netherlands,,,,
g180718,2018-07-18,OCCII,,Amsterdam,Netherlands,,,,
g180720,2018-07-20,De Groene Ster,,Leeuwarden,Netherlands,Welcome to The Village 2018,,,
g180721,2018-07-21,Kult41,,Bonn,Germany,,,,
g180722,2018-07-22,Moertelwerk,,Leipzig,Germany,,,,
g180803,2018-08-03,Dolina Trzech Stawów,08e67535-7b05-4901-8004-5ec6233528c0,Katowice,Poland,OFF Festival,,,
g180804,2018-08-04,,,Rylyaki,Russia,Potok Festival,,,
g180809,2018-08-09,,,Haldern,Germany,Haldern Pop Festival 2018,,,
g180811,2018-08-11,Ezeraicio Forest,,Valkininkai,Lithuania,Yaga Gathering: Shapeshifting 2018,,,
g180817,2018-08-17,,,Berlin,Germany,Pop-Kultur Berlin,,,
g180825,2018-08-25,Jardim Luís de Camões,,Leiria,Portugal,Entremuralhas Festival,,,
g180921,2018-09-21,,,Narva,Estonia,Station Narva Festival,,,
g181027,2018-10-27,Oktava,,Tula,Russia,,,,
g181110,2018-11-10,Zhytnii Rynok,,Kiev,Ukraine,,,,
g181117,2018-11-17,Refinery Gallery,,Bratislava,Slovakia,Koncert pre všímavých,,,
g181208,2018-12-08,Teatro Comunale Bologna,aaae577e-5954-4d61-8367-4f49b368b6f5,Bologna,Italy,Europavox Bologna 2018,,,
g181216,2018-12-16,Station Hall,,Moscow,Russia,,,,
g181220,2018-12-20,Kosmonavt,,Saint-Petersburg,Russia,,,,
g190123,2019-01-23,Var lokal,,Gnesta,Sweden,,,,
g190124,2019-01-24,Skjul Fyra Sex,,Gothenburg,Sweden,,,,
g190125,2019-01-25,1000FRYD,,Aalborg,Denmark,Northern Winter Beat,,,
g190126,2019-01-26,Spillestedet Stengade,3bfb8197-3916-4902-b164-3d76c273cbef,Copenhagen,Denmark,,,,
g190128,2019-01-28,Hafenklang,fb14c4bc-60ce-4419-97de-edd194d1be23,Hamburg,Germany,,,,
g190129,2019-01-29,Sonic Ballroom,,Cologne,Germany,,,,
g190131,2019-01-31,D.K. Luksus,cd7d4410-e6dd-4b5b-bfdf-fdda37e96011,Wrocław,Poland,,,,
g190201,2019-02-01,Chmury,,Warsaw,Poland,,,,
g190202,2019-02-02,Kirtim Kultros Centras,,Vilnius,Lithuania,,,,
g190315,2019-03-15,Michurin,,Perm,Russia,,,,
g190316,2019-03-16,MANSART,,Chelyabinsk,Russia,,,,
g190317,2019-03-17,Svoboda,,Yekaterinburg,Russia,,,,
g190321,2019-03-21,Podzemka,,Novosibirsk,Russia,,,,
g190324,2019-03-24,Bunker,,Novokuznetsk,Russia,,,,
g190325,2019-03-25,The Mods Bar,,Krasnoyark,Russia,,,,
g190420,2019-04-20,Gazprom Arena,,Saint-Petersburg,Russia,Zenit-Krasnodar match,,,
g190425,2019-04-25,Hydrozagadka,573e86ae-dc2a-413a-ab87-79513ca50c4e,Warsaw,Poland,,,,
g190426,2019-04-26,Urban Spree,a0b46552-950a-446a-bd89-d64a1c377653,Berlin,Germany,,,,
g190427,2019-04-27,Café V Lese,,Prague,Czech Republic,,,,
g190428,2019-04-28,,,Krems,Austria,Donaufestival 2019,,,
g190501,2019-05-01,Merleyn,17ff6f0e-5f78-4774-a8b8-dd31fa33124a,Nijmegen,Netherlands,,,,
g190503,2019-05-03,OT301,ecde5030-5916-4c21-af19-8db6254b337e,Amsterdam,Netherlands,,,,
g190504,2019-05-04,Moth Club,601aa7d2-c31d-4a0a-8119-0e88b15a3f80,London,United Kingdom,,a03b0357-a929-4187-89c5-e22f35f37c6c,,
g190505,2019-05-05,HANGAR 34,129ab655-16f1-4416-a4ab-5f4018f2f3dd,Liverpool,United Kingdom,Liverpool Sound City,bb112987-55f9-4912-b6b4-889ce9c8a254,,
g190507,2019-05-07,Yes,fa8196b4-b094-4036-bd70-6897d7dae50a,Manchester,United Kingdom,,,,
g190508,2019-05-08,Chameleon Arts Café,8cc26784-f1c6-4127-aebd-c46f86bcda55,Nottingham,United Kingdom,,,,
g190509,2019-05-09,Horatio's,54520238-236c-4491-8a76-4d91c23087c4,Brighton,United Kingdom,The Great Escape,,,
g190510,2019-05-10,Green Door Store,5f6c58b1-e0c1-4c30-b780-b350c1a4fc9a,Brighton,United Kingdom,The Great Escape,,,
g190513,2019-05-13,LOCH,c067282f-a418-49e4-980d-8f952ec32570,Wuppertal,Germany,,,,
g190515,2019-05-15,Vagonka,8861d5d9-1f77-4612-b9bc-935eeeaf7285,Kaliningrad,Russia,,,,
g190516,2019-05-16,One One,,Riga,Latvia,,,,
g190517,2019-05-17,On the Rocks,200c6d4b-f6be-4b3f-990f-5560b4db013b,Helsinki,Finland,Tusovka 20,,,
g190523,2019-05-23,A2,fd52cd06-8711-4816-be8a-5f0bfdf29278,Saint-Petersburg,Russia,,c66d5588-4806-4705-9796-a2ddea6d09a7,,
g190526,2019-05-26,GlavClub Green Concert,b8f0b43c-cf25-488f-bb26-787819da6282,Moscow,Russia,,,,
g190607,2019-06-07,National Circus of Ukraine,,Kiev,Ukraine,,,,
g190609,2019-06-09,Art-Factory Mechanica,,Kharkiv,Ukraine,,,,
g190615,2019-06-15,Vasileostrovsky Market,,Saint-Petersburg,Russia,Esquire Weekend 2019,,,
g190623,2019-06-23,,,Vladivostok,Russia,V-ROX EXPO 2019,,,
g190628,2019-06-28,,,Yekaterinburg,Russia,Ural Music Night 2019,,,
g190629,2019-06-29,,,Aleksin,Russia,Dikaya Myata (Wild Mint) 2019,,,
g190706,2019-07-06,Sevkabel Port,,Saint-Petersburg,Russia,Stereoleto 2019,,,
g190707,2019-07-07,Kulturniy Centr ZIL,ba326f99-f3b9-42d9-a030-b7d5978588a3,Moscow,Russia,Bol' 2019,,,
g190711,2019-07-11,Dainuvos slėnis,,Anykščiai,Lithuania,Devilstone 2019,,,
g190713,2019-07-13,,,Trenčín,Slovakia,Pohoda Festival 2019,,,
g190717,2019-07-17,,,Dresden,Germany,Schaubuden Sommer Festival,,,
g190718,2019-07-18,,,Dresden,Germany,Schaubuden Sommer Festival,,,
g190727,2019-07-27,,,Nizhniy Novgorod,Russia,Clear Water Rock 2019,,,
g190728,2019-07-28,,,Moscow,Russia,Forma Festival 2019,,,
g190804,2019-08-04,,,Golubitskaya,Russia,Taman Festival 2019,,,
