gig_id,url,type,archive_service
g190916,https://www.facebook.com/events/2228090930590168/,Facebook Event,
g190916,https://festsaal-kreuzberg.de/event/shortparis/,Venue Event Page,
g190919,https://web.archive.org/web/20190905021236/https://www.reeperbahnfestival.com/en/festival/shortparis,Festival Artist Page,Wayback
g190920,https://web.archive.org/web/20190905021236/https://www.reeperbahnfestival.com/en/festival/shortparis,Festival Artist Page,Wayback
g190924,https://www.facebook.com/events/456347118472247/,Facebook Event,
g190926,https://web.archive.org/web/20210303122517/https://www.wavesvienna.com/line-up/thu-26-sep-2019/,Festival Lineup,Wayback
g190927,https://www.facebook.com/events/305861347006324/,Facebook Event,
g190928,https://www.facebook.com/events/769246150136146,Facebook Event,
g190928,http://www.mochvara.hr/program/info/post-pop-senzacija-iz-rusije-190928,Venue Event Page,Wayback
g190929,https://www.facebook.com/events/550819865442096/,Facebook Event,
g190929,https://www.a38.hu/hu/program/shortparis-ru,Venue Event Page,Wayback
g191017,https://gumrussia.com/news/6698561/18.10.2019/,Press Release,
g191026,https://kalternpop.de/lineup/shortparis-ru/,Festival Artist Page,
g191026,https://kalternpop.de/line-up-2019/,Festival Lineup,
g191108,https://fiftyfiftylab.com/artists.html,Festival Lineup,
g191109,https://www.facebook.com/events/dbs/le-guess-who-at-dbs-w-glucks-italia-90-empath-shortparis/754310168327819/,Facebook Event,
g191109,https://www.leguesswho.nl/lineup/shortparis,Festival Artist Page,
g191116,https://www.yubi.ru/afisha/concerts/shortparis/?event=2762,Venue Event Page,Wayback
g191121,https://www.facebook.com/events/355971155315968/,Facebook Event,
g191121,https://www.adrenaline-stadium.ru/en/afisha/shortparis/2019-11-21/,Venue Event Page,Wayback
g191121,https://adrenaline-stadium.ru/en/gallery/shortparis-2019-11-21/,Photo Gallery,
g191126,https://www.facebook.com/events/477498719730642/,Facebook Event,
g191206,https://www.lestrans.com/le-festival/programmation/#/artist/shortparis,Festival Artist Page,
g200109,https://www.facebook.com/events/1431946410286903/,Facebook Event,
g200109,https://www.the-village.ru/village/weekend/wknd-news/363735-signal-na-bali,Press Release,
g200118,http://morezvukov.nl/tourdates/,Booking Agency,
g200118,https://www.hellerau.org/en/event/shortparis/,Festival Artist Page,
g200207,http://morezvukov.nl/tourdates/,Booking Agency,
g200207,https://www.grauzonefestival.nl/shortparis,Festival Artist Page,
g200207,https://www.post-punk.com/wp-content/uploads/2019/12/Poster_Grauzone_3e_Aankondiging_2020-1448x2048.jpg,Flyer,
g200222,http://morezvukov.nl/tourdates/,Booking Agency,
g200222,https://www.facebook.com/events/415247545717869/,Facebook Event,
g200222,http://peelslowlyandsee.nl/lineup/,Festival Lineup,
g200321,https://showmarket.kz/img/afisha/nvVII.png,Festival Lineup,
g200321,https://vk.com/nomadvibes,VK Event,
g200328,http://morezvukov.nl/tourdates/,Booking Agency,
g200328,https://tmw.ee/2020/01/tallinn-music-week-reveals-the-first-wave-of-artists-for-its-12th-edition/,Press Release,
g200404,http://morezvukov.nl/tourdates/,Booking Agency,
g200506,https://clubbackstage.ru/afisha/view/213,Venue Event Page,
g200526,http://primehall.by/item/913-shortparis,Venue Event Page,
g200528,http://morezvukov.nl/tourdates/,Booking Agency,
g200528,https://louderthanwar.com/shortparis-announce-new-album-russian-band-are-one-of-our-favourite-new-bands-and-set-to-break-big/,Press Release,
g200529,http://morezvukov.nl/tourdates/,Booking Agency,
g200529,https://www.facebook.com/events/473523523560935/,Facebook Event,
g200529,https://louderthanwar.com/shortparis-announce-new-album-russian-band-are-one-of-our-favourite-new-bands-and-set-to-break-big/,Press Release,
g200529,https://klubproxima.com.pl/en/events/shortparis/,Venue Event Page,
g200530,https://marathonec.ru/elton2020_interview/,Press Release,
g200531,http://morezvukov.nl/tourdates/,Booking Agency,
g200531,https://www.facebook.com/events/3221685487860445/,Facebook Event,
g200531,https://louderthanwar.com/shortparis-announce-new-album-russian-band-are-one-of-our-favourite-new-bands-and-set-to-break-big/,Press Release,
g200601,http://morezvukov.nl/tourdates/,Booking Agency,
g200601,https://www.facebook.com/events/2407993996182202/,Facebook Event,
g200601,https://louderthanwar.com/shortparis-announce-new-album-russian-band-are-one-of-our-favourite-new-bands-and-set-to-break-big/,Press Release,
g200602,http://morezvukov.nl/tourdates/,Booking Agency,
g200602,https://www.facebook.com/events/525124701458801/,Facebook Event,
g200602,https://louderthanwar.com/shortparis-announce-new-album-russian-band-are-one-of-our-favourite-new-bands-and-set-to-break-big/,Press Release,
g200604,http://morezvukov.nl/tourdates/,Booking Agency,
g200604,https://botanique.be/en/concert/shortparis-2020-0,Venue Event Page,
g200605,http://morezvukov.nl/tourdates/,Booking Agency,
g200605,https://louderthanwar.com/shortparis-announce-new-album-russian-band-are-one-of-our-favourite-new-bands-and-set-to-break-big/,Press Release,
g200606,http://www.undertheradarmag.com/news/shortparis_announce_european_tour_for_may_and_june,Press Release,
g200607,http://morezvukov.nl/tourdates/,Booking Agency,
g200607,https://www.facebook.com/events/979125049148151/,Facebook Event,
g200607,https://louderthanwar.com/shortparis-announce-new-album-russian-band-are-one-of-our-favourite-new-bands-and-set-to-break-big/,Press Release,
g200609,https://www.facebook.com/events/1112681625742365/,Facebook Event,
g200610,https://www.facebook.com/events/639612276821834/,Facebook Event,
g200615,https://www.facebook.com/events/1092405541115896/,Facebook Event,
g200615,https://www.glazart.com/agenda/15-06-shortparis-molto-morbidi/,Venue Event Page,
